path,category,source_url,notes
data/raw/disturbanceDT.csv,raw,local,"Curated disturbanceDT used for thesis runs; URLs rewritten to local file:// paths inside the core archive."
data/raw/wind_data_modified.zip,raw,https://ftp.cartes.canada.ca/pub/nrcan_rncan/Wind-energy_Energie-eolienne/wind_turbines_database/wind_turbine_database_en.gdb.zip,"Derived from wind_turbine_database_en.gdb.zip; subset used in thesis."
data/raw/windLayers_NWT.zip,raw,https://drive.google.com/file/d/1g0AmAN_8RpM4x7tKHl191aTNMJRNszYA/view?usp=sharing,"Potential wind (MIF tiles)."
data/raw/NorthwestTerritories_15m_Disturb_Perturb_Line.zip,raw,https://drive.google.com/file/d/1hl7bF0JJsF8AQzZIZ0QfoDwvvAq81UpP/view?usp=sharing,"Line disturbances source."
data/raw/linearDisturbances_NT1_BCR6_clipped.zip,raw,https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing,"Line disturbances (clipped)."
data/raw/NorthwestTerritories_15m_Disturb_Perturb_Poly.zip,raw,https://drive.google.com/file/d/1FFpnM7XaFJ5yr64Czfx6vVhtIBFWcXRq/view?usp=sharing,"Polygon disturbances source."
data/raw/polygonalDisturbances_NT1_BCR6_clipped.zip,raw,https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing,"Polygon disturbances (clipped)."
data/raw/ECO_ITI_PR_OilandGasRights_GCS_NAD27_Jan26_2023_0.zip,raw,https://www.iti.gov.nt.ca/sites/iti/files/ECO_ITI_PR_OilandGasRights_GCS_NAD27_Jan26_2023_0.zip,"Oil/gas rights."
data/raw/C2H4_BCR6_NT1.tif,raw,https://drive.google.com/file/d/1Uxbp7RU01WUraZRuv9qiP9QNgRDUGsoU/view?usp=sharing,"Hydrocarbon potential raster."
data/raw/NRN_NT_13_0_SHAPE_en.zip,raw,https://drive.google.com/file/d/1KV4PPKmJWzEjndl6Vcr6S1L71B8vS4gR/view?usp=sharing,"Road network source."
data/raw/MiningLeases.zip,raw,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,"Extracted from MineralTenureAll.zip."
data/raw/MineralClaims.zip,raw,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,"Extracted from MineralTenureAll.zip."
data/raw/ProspectingPermits.zip,raw,http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,"Extracted from MineralTenureAll.zip."
data/raw/NT_FORCOV.zip,raw,https://drive.google.com/file/d/1McjYdHQ9LCgkHN7oE9lifk14swG_lPTN/view?usp=sharing,"Potential forestry cutblocks."
data/raw/Digaa_LandUsePermitArea.zip,raw,https://drive.google.com/file/d/1bed08n8GP8rnTi5gpxpKMrBY5_EC4nmC/view?usp=sharing,"Land-use permits (Digaa)."
data/raw/Timberworks_LandUsePermitArea.zip,raw,https://drive.google.com/file/d/1vYVU-CqFNIJK69PGKp5A8oHu8swMym0t/view?usp=sharing,"Land-use permits (Timberworks)."
data/raw/CutblocksHistory_UpdatedJan2022.zip,raw,https://drive.google.com/file/d/1vBI1uJ7kWXFoETBvqUMac1xgFntJ0eI2/view?usp=sharing,"Cutblocks history."
data/raw/ECCC/Boreal-ecosystem-anthropogenic-disturbance-vector-data-2008-2010.zip,bead,https://www.ec.gc.ca/data_donnees/STB-DGST/003/Boreal-ecosystem-anthropogenic-disturbance-vector-data-2008-2010.zip,"BEAD 2010 archive."
data/raw/ECCC/ECCC_2015_anthro_dist_corrected_to_NT1_2016_final.zip,bead,https://drive.google.com/file/d/1sxAa0wwwt7iwiHD7zB0DDnjfqyIQjKI2,"BEAD 2015 archive."
data/raw/ECCC/NorthwestTerritories2020.gdb.zip,bead,https://drive.google.com/file/d/140i9EPTciWSBRN1HSLWKCOIsXG30bBjE/view?usp=sharing,"BEAD 2020 archive."
data/synthetic/rates/,synthetic,generated,"Synthetic rates fixtures (see data/synthetic/rates/synthetic_inputs/CHECKSUMS.txt)."
